제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,지성,48명,"추천/재구매 (19)
자극/부작용 (15)
상황/편의 (13)
순함/저자극 (10)
트러블/모공 (8)","유분/피지 (3)
트러블/모공 (3)
자극/부작용 (2)
흡수/발림성 (2)
상황/편의 (2)",만족,1.23
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,쿨톤,36명,"추천/재구매 (18)
상황/편의 (8)
유분/피지 (8)
순함/저자극 (7)
자극/부작용 (4)","상황/편의 (2)
유분/피지 (1)
트러블/모공 (1)
자극/부작용 (1)",만족,1.12
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,탄력,2명,"순함/저자극 (1)
자극/부작용 (1)
진정/장벽 (1)
추천/재구매 (1)",-,매우만족,1.67
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,트러블,89명,"추천/재구매 (35)
자극/부작용 (22)
유분/피지 (16)
트러블/모공 (15)
상황/편의 (13)","유분/피지 (7)
자극/부작용 (4)
트러블/모공 (4)
상황/편의 (3)
보습/속건조 (1)",만족,1.13
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,트러블성,15명,"유분/피지 (5)
트러블/모공 (4)
추천/재구매 (4)
상황/편의 (3)
흡수/발림성 (2)","유분/피지 (2)
상황/편의 (1)
트러블/모공 (1)",만족,1.0
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,피지과다,11명,"트러블/모공 (6)
추천/재구매 (4)
순함/저자극 (3)
유분/피지 (2)
흡수/발림성 (2)",유분/피지 (1),만족,1.21
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,한달이상사용,424명,"추천/재구매 (144)
자극/부작용 (103)
상황/편의 (77)
순함/저자극 (77)
유분/피지 (69)","트러블/모공 (10)
상황/편의 (8)
유분/피지 (8)
자극/부작용 (7)
흡수/발림성 (4)",만족,1.21
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,홍조,9명,"순함/저자극 (4)
추천/재구매 (2)
상황/편의 (2)
진정/장벽 (2)
자극/부작용 (2)",트러블/모공 (1),만족,0.75
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,"[아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입 랩업] 참여 유저: (정보없음 513명, 한달이상사용 424명, 재구매 126명, 복합성 89명, 잡티 89명, 트러블 89명, 여름쿨톤 69명, 미백 68명, 건성 54명, 블랙헤드 53명, 지성 48명, 웜톤 43명, 쿨톤 36명, 봄웜톤 36명, 민감성 36명, 가을웜톤 34명, 각질 24명, 주름 20명, 모공 20명, 트러블성 15명, 겨울쿨톤 12명, 피지과다 11명, 홍조 9명, 약건성 9명, 다크서클 6명, 아토피 5명, 중성 3명, 탄력 2명). 이 제품에서 가장 많이 언급된 특징은 '유분/피지'(으)로, 이에 대해 주로 긍정적인 반응을 보였습니다.",총 1143명,★★ 제품 전체 요약 ★★,★★ 제품 전체 요약 ★★,-,1.19
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,[대표리뷰 1] 일단 결론만 말하자면 너무 좋아요! 제가 여드름 피부여서 평소에 클랜징 오일을 쓰기가 두려웠는데 아누아 제품들을 너무 잘 사용하고 있었어서 이번에도 별 고민없이 샀는데요 ! 화장도 진짜 잘 지워지고요 제형도 막 묽거나 물처럼 흐르는 제형도 아니여서 자극도 많이 없어요 이 제품 사용할때마다 피지가 나오는데 진짜 시원하고 세정력도 잘 되는거같아서 좋아요 ! 원플원 행사해서 더더 좋고요 ! 저는 재구매할 의사 90퍼 입니다 한번 사용해보시는 거 추천드려요 ! 후회 없으실거같아여,밀도: 5,리뷰ID: CO_251113_015,태그: nan,별점: 4점,1.8
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,"[대표리뷰 2] 한 달 동안 아누아 어성초 포어 컨트롤 클렌징 오일을 써봤는데, 민감한 피부에도 부담 없이 부드럽게 클렌징되는 느낌이 정말 좋았어요. 오일이지만 유분감이 과하지 않고, 메이크업이나 선크림도 깔끔하게 지워줘서 화장 지우는 게 훨씬 편해졌어요. 특히 어성초 성분 덕분인지 피부가 진정되는 느낌도 있고, 모공 케어 기능 덕분에 피지와 블랙헤드 관리에도 살짝 도움되는 느낌이 들더라고요. 사용 후 피부가 뽀송하면서도 당기지 않고 촉촉해서 세안 후에도 건조함이 적었어요. 향도 강하지 않고 자극 없는 허브 향이라 세안할 때 편안하고, 펌핑 타입이라 양 조절도 편리했어요. 한 달 써보니 데일리 클렌징용으로 딱 좋고, 민감한 피부나 지성복합성 피부에도 추천할 만한 제품이에요.",밀도: 5,리뷰ID: CO_251115_011,태그: 한달이상사용,별점: 4점,1.3
아누아 어성초 포어 컨트롤 클렌징오일 200ml 2입,"[대표리뷰 3] 화장 잘 녹고 잔여감이 없어서 데일리 클렌징오일로 쓰기 좋아요. 사용 후에도 뽀득거리지 않고 촉촉해서 피부 자극이 없었고, 좁쌀 올라오던 것도 줄어든 느낌이에요. 대용량이라 오래 쓰는 것도 장점!",밀도: 5,리뷰ID: CO_251125_004,태그: 한달이상사용,별점: 4점,0.8
