제품명,상세 항목 및 요약,사용자 수 / 정보밀도,긍정 소분류 (Top 5),부정 소분류 (Top 5),종합 만족도,평균 점수
아누아 어성초 피지쏙 모공 폼 150ml,트러블성,20명,"추천/재구매 (9)
보습/속건조 (4)
자극/부작용 (4)
순함/저자극 (3)
트러블/모공 (3)",자극/부작용 (2),매우만족,1.53
아누아 어성초 피지쏙 모공 폼 150ml,피지과다,7명,"진정/장벽 (3)
순함/저자극 (2)
자극/부작용 (2)
보습/속건조 (2)
추천/재구매 (1)",-,매우만족,1.5
아누아 어성초 피지쏙 모공 폼 150ml,한달이상사용,243명,"추천/재구매 (107)
자극/부작용 (51)
순함/저자극 (35)
보습/속건조 (34)
트러블/모공 (28)","자극/부작용 (10)
트러블/모공 (5)
순함/저자극 (3)
상황/편의 (2)
흡수/발림성 (1)",만족,1.48
아누아 어성초 피지쏙 모공 폼 150ml,홍조,5명,"보습/속건조 (3)
유분/피지 (3)
상황/편의 (1)
추천/재구매 (1)
트러블/모공 (1)",-,매우만족,1.67
아누아 어성초 피지쏙 모공 폼 150ml,"[아누아 어성초 피지쏙 모공 폼 150ml 랩업] 참여 유저: (정보없음 297명, 한달이상사용 243명, 재구매 100명, 잡티 60명, 트러블 57명, 복합성 52명, 블랙헤드 39명, 미백 38명, 여름쿨톤 33명, 웜톤 33명, 지성 31명, 건성 31명, 각질 29명, 봄웜톤 27명, 가을웜톤 25명, 민감성 21명, 트러블성 20명, 쿨톤 17명, 주름 16명, 모공 12명, 겨울쿨톤 10명, 피지과다 7명, 탄력 6명, 홍조 5명, 중성 4명, 약건성 4명, 아토피 2명, 다크서클 2명). 이 제품에서 가장 많이 언급된 특징은 '추천/재구매'(으)로, 이에 대해 주로 긍정적인 반응을 보였습니다.",총 682명,★★ 제품 전체 요약 ★★,★★ 제품 전체 요약 ★★,-,1.45
아누아 어성초 피지쏙 모공 폼 150ml,[대표리뷰 1] 거품이 풍성해서 세안할 때 자극 없이 깨끗해져요. 세안 후 당김이 적어 피부가 편안한 느낌이에요. 잔여감 없이 산뜻하게 마무리돼서 만족스러워요.,밀도: 5,리뷰ID: FC_251223_011,태그: 한달이상사용,별점: 5점,2.3
아누아 어성초 피지쏙 모공 폼 150ml,"[대표리뷰 2] 거품이 정말 부드럽고 조밀해서 세안할 때 자극이 덜해요. 뽀득한 세정감이 있으면서도 당김 없이 촉촉하게 마무리돼서 아침저녁으로 사용하기 좋았습니다. 특히 피지와 모공 케어에 효과적인 느낌이었고, 사용 후 피부결이 매끈하게 정리돼요. 향도 은은한 어성초 향이라 자극적이지 않고 순해서 재구매 의사 있습니다.",밀도: 5,리뷰ID: FC_250804_006,태그: nan,별점: 5점,1.7
아누아 어성초 피지쏙 모공 폼 150ml,[대표리뷰 3] 피지 쏙 모공 폼이라하는데 솔직히 눈에 띄게 효과있는지 모르겠음 자극없이 순한 건 맞는 듯 데일리로 사용 굿,밀도: 4,리뷰ID: FC_251014_006,태그: nan,별점: 5점,1.0
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,가을웜톤,18명,"추천/재구매 (8)
보습/속건조 (4)
가성비/가격 (3)
흡수/발림성 (3)
미백/광채 (2)","상황/편의 (1)
유분/피지 (1)
자극/부작용 (1)
진정/장벽 (1)",만족,1.06
[파데프리 선크림] 아누아 매트벗글로우 커버 베이지 50ml 2입,각질,18명,"추천/재구매 (4)
미백/광채 (4)
보습/속건조 (4)
흡수/발림성 (3)
유분/피지 (1)",-,만족,0.91
