리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
LL_260107_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.07,-,,한달이상사용,피부 고민 해결,트러블/모공,3,5점,부정,-1,트러블,일단 피부 트러블 별로 안 납니다,저는 복합성피부티존은 지성인데. 넘 좋아요 여름에 쓰면 조금 무거울 수는 있을 것 같은데 일단 겨울에 쓰기는 좋다는 점 로션 하나만 발라도 별로 막 건조하지 않습니다 끈적임도 적어요 그리고. 일단 피부 트러블 별로 안 납니다,1.5,"건조, 끈적, 트러블"
LL_260107_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.07,-,,재구매,"수분/유분 밸런스, 제형/사용감","끈적임/밀림, 보습/속건조",2,5점,긍정,3,"끈적, 촉촉",끈적이지 않으면서 촉촉한 무난템의 정석입니다 다른 로션은 못바름,끈적이지 않으면서 촉촉한 무난템의 정석입니다 다른 로션은 못바름,3.0,"끈적, 촉촉"
LL_260107_004,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.07,-,,,"구매 가치/편의, 제형/사용감","끈적임/밀림, 상황/편의",2,5점,긍정,4,"끈적, 데일리",데일리로 쓸 크림 찾다가 구매했는데 끈적임도 없이 너무 좋아요,데일리로 쓸 크림 찾다가 구매했는데 끈적임도 없이 너무 좋아요,4.0,"끈적, 데일리"
LL_260108_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.08,-,,한달이상사용,수분/유분 밸런스,보습/속건조,1,5점,보통,0,건조,오늘 좀 건조하다 싶으면 듬북 바르고,오늘 좀 건조하다 싶으면 듬북 바르고 자용 그럼 아침에 뽀얀 피부를 볼수 있어요,0.0,건조
LL_260109_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.09,-,,재구매,"수분/유분 밸런스, 제형/사용감, 피부 자극","보습/속건조, 순함/저자극, 흡수/발림성",3,5점,긍정,3,"순해, 제형, 촉촉",순해서 자주 사는 제품이에요 꾸덕한 제형이 아닌 촉촉해서 좋아요,순해서 자주 사는 제품이에요 꾸덕한 제형이 아닌 촉촉해서 좋아요,3.0,"순해, 제형, 촉촉"
LL_260109_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.09,-,,한달이상사용,"구매 가치/편의, 피부 자극","상황/편의, 자극/부작용",2,5점,긍정,2,"데일리, 자극",데일리 로션이라 부담없이 자극 없이 바르기 너무 좋아용,데일리 로션이라 부담없이 자극 없이 바르기 너무 좋아용!,2.0,"데일리, 자극"
LL_260110_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,,"수분/유분 밸런스, 피부 고민 해결","보습/속건조, 진정/장벽",2,5점,긍정,2,"보습, 진정",진정에도 좋고 보습에도 딱 좋은 로션이에요,진정에도 좋고 보습에도 딱 좋은 로션이에요! 이거 쓰고 기름도 줄고 여드름도 줄었어요!,1.0,"기름, 보습, 여드름, 진정"
LL_260110_001,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,,"수분/유분 밸런스, 피부 고민 해결","유분/피지, 트러블/모공",2,5점,보통,0,"기름, 여드름",이거 쓰고 기름도 줄고 여드름도 줄었어요,진정에도 좋고 보습에도 딱 좋은 로션이에요! 이거 쓰고 기름도 줄고 여드름도 줄었어요!,1.0,"기름, 보습, 여드름, 진정"
LL_260110_002,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,,,"구매 가치/편의, 피부 고민 해결","진정/장벽, 추천/재구매",2,3점,긍정,1,"예민, 추천",예민한 피부인데 한 본 써볼게용 추천 받고 샀습니당 로션,예민한 피부인데 한 본 써볼게용 추천 받고 샀습니당 로션 !,1.0,"예민, 추천"
LL_260110_003,로션/밀크/크림,어성초 70 데일리 로션 200ml,2026.01.10,-,"민감성, 봄웜톤",한달이상사용,구매 가치/편의,추천/재구매,1,5점,긍정,3,재구매,있어요 다쓰면 재구매 예정이에요,매번좋아서 계속 사용중이에요 작은통에 덜어 사용하고 있어요 다쓰면 재구매 예정이에요,3.0,재구매
