날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.22,5점,,,개 꿀템 너무 좋음 살짝 양에 비해 비싼데 난 자주 사서 쓸듯 이거 생각보다 구하기 어려운 제품이라는것을 아십시오 이거 아는 사람은 이것만 3개씩 사가요 할인 안해도 나도 할인없이 자주 사요 ㅠㅠ 너무 좋아 모르시면 여드름 흉터나 진정 필요할때 꼭 사용하세요 보장할게오 담에 또 쓰실걸료,개 꿀템 너무 좋음 살짝 양에 비해 비싼데 난 자주 사서 쓸듯 이거 생각보다 구하기 어려운 제품이라는것을 아십시오 이거 아는 사람은 이것만 3개씩 사가요 할인 안해도 나도 할인없이 자주 사요 ㅠㅠ 너무 좋아 모르시면 여드름 흉터나 진정 필요할때 꼭 사용하세요 보장할게오 담에 또 쓰실걸료,개 꿀템 너무 좋음 살짝 양에 비해 비싼데 난 자주 사서 쓸듯 이거 생각보다 구하기 어려운 제품이라는것을 아십시오 이거 아는 사람은 이것만 3개씩 사가요 할인 안해도 나도 할인없이 자주 사요 너무 좋아 모르시면 여드름 흉터나 진정 필요할때 꼭 사용하세요 보장할게오 담에 또 쓰실걸료,1.0,157,0.7261146496815286
2026.01.22,5점,,한달이상사용,스팟 진정으로 너무 좋아요 꾸준히 바르면 확실히 효과가 있습니다,스팟 진정으로 너무 좋아요 꾸준히 바르면 확실히 효과가 있습니다,스팟 진정으로 너무 좋아요 꾸준히 바르면 확실히 효과가 있습니다,1.0,35,0.7714285714285715
2026.01.21,5점,"트러블성, 여름쿨톤, 트러블",한달이상사용,굿굿 자극없고 보습력도 좋고 잘 쓰면 잡티 흨적도 사라지는 느낍,굿굿 자극없고 보습력도 좋고 잘 쓰면 잡티 흨적도 사라지는 느낍,굿굿 자극없고 보습력도 좋고 잘 쓰면 잡티 흨적도 사라지는 느낍,1.0,35,0.7428571428571429
2026.01.21,5점,"트러블성, 여름쿨톤, 트러블",재구매,끝까지 짜서 쓰는건 불가능함ㅠ 근데 적닽히 보습력도 좋고 가벼워요,끝까지 짜서 쓰는건 불가능함ㅠ 근데 적닽히 보습력도 좋고 가벼워요,끝까지 짜서 쓰는건 불가능함 근데 적닽히 보습력도 좋고 가벼워요,1.0,35,0.7714285714285715
2026.01.21,5점,,"한달이상사용, 재구매",크림이나 앰플에 섞어서 바르기에도 좋고 스팟으로 도톰하게 올려두고 자도 좋아요,크림이나 앰플에 섞어서 바르기에도 좋고 스팟으로 도톰하게 올려두고 자도 좋아요,크림이나 앰플에 섞어서 바르기에도 좋고 스팟으로 도톰하게 올려두고 자도 좋아요,1.0,43,0.7906976744186046
2026.01.21,5점,,재구매,여드름 올라올때 스팟크림으로 써주면 좋고 앰플이나 크림에 섞어써도 좋아요,여드름 올라올때 스팟크림으로 써주면 좋고 앰플이나 크림에 섞어써도 좋아요,여드름 올라올때 스팟크림으로 써주면 좋고 앰플이나 크림에 섞어써도 좋아요,1.0,40,0.8
2026.01.20,5점,,재구매,재구매입니다 진정 완전 좋아요 진정이 잘 돼요 믿고 씁니다 ㅠㅠ 피부가 많이 좋아졌어요,재구매입니다 진정 완전 좋아요 진정이 잘 돼요 믿고 씁니다 ㅠㅠ 피부가 많이 좋아졌어요,재구매입니다 진정 완전 좋아요 진정이 잘 돼요 믿고 씁니다 피부가 많이 좋아졌어요,1.0,45,0.7555555555555555
2026.01.20,2점,"복합성, 겨울쿨톤, 잡티, 미백",,자극 ㄷㄷ 냄새도 별로고 걍 다 별로임 작은데 비싸기만 하고 개비추,자극 ㄷㄷ 냄새도 별로고 걍 다 별로임 작은데 비싸기만 하고 개비추,자극 냄새도 별로고 걍 다 별로임 작은데 비싸기만 하고 개비추,1.0,34,0.7352941176470589
2026.01.20,5점,,,"본 발명은 플렉시블 호스로 압축공기를 분사하고 회전판을 활용하여 전자제품을 더욱 효과적으로 청소할 수 있는 장치입니다. 압력 조절 기능을 도입해 청소 대상물의 손상을 방지하고 먼지 누출을 최소화함으로써, 청소의 효율성과 안전성을 크게 향상시켰습니다.","본 발명은 플렉시블 호스로 압축공기를 분사하고 회전판을 활용하여 전자제품을 더욱 효과적으로 청소할 수 있는 장치입니다. 압력 조절 기능을 도입해 청소 대상물의 손상을 방지하고 먼지 누출을 최소화함으로써, 청소의 효율성과 안전성을 크게 향상시켰습니다.","본 발명은 플렉시블 호스로 압축공기를 분사하고 회전판을 활용하여 전자제품을 더욱 효과적으로 청소할 수 있는 장치입니다. 압력 조절 기능을 도입해 청소 대상물의 손상을 방지하고 먼지 누출을 최소화함으로써, 청소의 효율성과 안전성을 크게 향상시켰습니다.",1.0,139,0.762589928057554
2026.01.20,5점,,한달이상사용,진짜 이거 바르고 피부가 너무너무 좋아지는 게 보여요 ㅠㅠ 지금 몇개를 사용했는지 .. 계속 이거만 사용하다보니 몇 개를 사용했는지 셀 수가 없네요 진정이 너무너무 좋아요,진짜 이거 바르고 피부가 너무너무 좋아지는 게 보여요 ㅠㅠ 지금 몇개를 사용했는지 .. 계속 이거만 사용하다보니 몇 개를 사용했는지 셀 수가 없네요 진정이 너무너무 좋아요,진짜 이거 바르고 피부가 너무너무 좋아지는 게 보여요 지금 몇개를 사용했는지 . 계속 이거만 사용하다보니 몇 개를 사용했는지 셀 수가 없네요 진정이 너무너무 좋아요,1.0,91,0.7362637362637363
2026.01.20,5점,,재구매,재구매 입니다 양볼에 여드름이계속 반복됫는데 한개 다쓰니까 여드름이 작아진느낌?자국도 많이 옅어진거 같아요 지금 두번째 구매햇습니다 첨엔 너무 눈에 띄이게 효과본건아닌데 꾸준히 사용해봣더니 지금은 많이 좋아진거 같아서 리뷰 남겻습니드,재구매 입니다 양볼에 여드름이계속 반복됫는데 한개 다쓰니까 여드름이 작아진느낌?자국도 많이 옅어진거 같아요 지금 두번째 구매햇습니다 첨엔 너무 눈에 띄이게 효과본건아닌데 꾸준히 사용해봣더니 지금은 많이 좋아진거 같아서 리뷰 남겻습니드,재구매 입니다 양볼에 여드름이계속 반복됫는데 한개 다쓰니까 여드름이 작아진느낌?자국도 많이 옅어진거 같아요 지금 두번째 구매햇습니다 첨엔 너무 눈에 띄이게 효과본건아닌데 꾸준히 사용해봣더니 지금은 많이 좋아진거 같아서 리뷰 남겻습니드,1.0,130,0.7846153846153846
2026.01.20,5점,"건성, 미백, 각질",한달이상사용,여드름난 부위에 사용하면 진정효과가 있어요. 무난하게 잘 쓰고 있습니다,여드름난 부위에 사용하면 진정효과가 있어요. 무난하게 잘 쓰고 있습니다,여드름난 부위에 사용하면 진정효과가 있어요. 무난하게 잘 쓰고 있습니다,1.0,39,0.7692307692307693
2026.01.19,4점,,재구매,"아누아 어성초 센텔라 스팟 크림

여드름 피부라면 정말 강추하고 싶은 제품이에요.

원래 스팟 제품 잘 안 바르는 편인데,
이건 진짜 인정…!

트러블 부위에 꾸준히 발라주니까
생리 기간만 빼고는 피부가 천천히, 확실히 잠잠해지는 느낌이에요.

벌써 2통째 사용 중입니다 🙂","아누아 어성초 센텔라 스팟 크림

여드름 피부라면 정말 강추하고 싶은 제품이에요.

원래 스팟 제품 잘 안 바르는 편인데,
이건 진짜 인정…!

트러블 부위에 꾸준히 발라주니까
생리 기간만 빼고는 피부가 천천히, 확실히 잠잠해지는 느낌이에요.

벌써 2통째 사용 중입니다 🙂","아누아 어성초 센텔라 스팟 크림 여드름 피부라면 정말 강추하고 싶은 제품이에요. 원래 스팟 제품 잘 안 바르는 편인데, 이건 진짜 인정! 트러블 부위에 꾸준히 발라주니까 생리 기간만 빼고는 피부가 천천히, 확실히 잠잠해지는 느낌이에요. 벌써 2통째 사용 중입니다",1.0,146,0.7123287671232876
