날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2025.09.19,5점,,,"물처럼 주르륵 뚝 뚝 떨어지는 제형감이구요
색감이 핑크 핑크 해서 너무나 예쁜데
향이 ㅠㅠㅠ 약간 구리다 ...","물처럼 주르륵 뚝 뚝 떨어지는 제형감이구요
색감이 핑크 핑크 해서 너무나 예쁜데
향이 ㅠㅠㅠ 약간 구리다 ...",물처럼 주르륵 뚝 뚝 떨어지는 제형감이구요 색감이 핑크 핑크 해서 너무나 예쁜데 향이 약간 구리다,1.0,54,0.7407407407407407
2025.09.19,5점,,"한달이상사용, 재구매",good anua serum with niacinamide 10+ TXA 4 for help skin from dark spots,good anua serum with niacinamide 10+ TXA 4 for help skin from dark spots,gd anua serum with niacinamide 10 TXA 4 for help skin from dark spots,0.5,69,0.0
2025.12.31,5점,,,I really like this product and i love Olive Young!!!!! I will buy again! thank you!!!!!!!,I really like this product and i love Olive Young!!!!! I will buy again! thank you!!!!!!!,I really like this product and i love Olive Young I will buy again! thank you,0.5,77,0.0
2025.09.19,4점,"건성, 여름쿨톤, 트러블, 민감성",한달이상사용,"한달 사용리뷰
이 제품은 기미랑 붉은 자국 때문에 샀는데, 한 달간 하루 1~2회 사용하면서 확실히 피부톤이 균일해지는 걸 느꼈어요. 제형은 묽고 가볍지만 보습력도 괜찮고, 특히 여드름 자국이 조금 옅어졌어요. 즉각적인 효과는 없지만 꾸준히 사용하면 확실히 변화가 생기는 제품이에요. 흡수도 빠르고 메이크업 전에 써도 밀림이 없어서 아침 루틴에도 문제 없었어요. 민감성 피부인데 트러블도 전혀 없었고, 깔끔한 성분이라 안심하고 사용할 수 있었어요.","한달 사용리뷰
이 제품은 기미랑 붉은 자국 때문에 샀는데, 한 달간 하루 1~2회 사용하면서 확실히 피부톤이 균일해지는 걸 느꼈어요. 제형은 묽고 가볍지만 보습력도 괜찮고, 특히 여드름 자국이 조금 옅어졌어요. 즉각적인 효과는 없지만 꾸준히 사용하면 확실히 변화가 생기는 제품이에요. 흡수도 빠르고 메이크업 전에 써도 밀림이 없어서 아침 루틴에도 문제 없었어요. 민감성 피부인데 트러블도 전혀 없었고, 깔끔한 성분이라 안심하고 사용할 수 있었어요.","한달 사용리뷰 이 제품은 기미랑 붉은 자국 때문에 샀는데, 한 달간 하루 12회 사용하면서 확실히 피부톤이 균일해지는 걸 느꼈어요. 제형은 묽고 가볍지만 보습력도 괜찮고, 특히 여드름 자국이 조금 옅어졌어요. 즉각적인 효과는 없지만 꾸준히 사용하면 확실히 변화가 생기는 제품이에요. 흡수도 빠르고 메이크업 전에 써도 밀림이 없어서 아침 루틴에도 문제 없었어요. 민감성 피부인데 트러블도 전혀 없었고, 깔끔한 성분이라 안심하고 사용할 수 있었어요.",1.0,249,0.7228915662650602
2025.09.18,2점,,,"음 .. 데일리로 쓰기에는 저한테는 조금 부담스러웠어요!

피부에 트러블이 오히려 더 나는 기분이여서

주1회로 사용하고 있어요 ~","음 .. 데일리로 쓰기에는 저한테는 조금 부담스러웠어요!

피부에 트러블이 오히려 더 나는 기분이여서

주1회로 사용하고 있어요 ~",음 . 데일리로 쓰기에는 저한테는 조금 부담스러웠어요! 피부에 트러블이 오히려 더 나는 기분이여서 주1회로 사용하고 있어요,1.0,68,0.7352941176470589
2025.09.17,5점,,,민감성 피부라 걱정했는데 자극 하나 없이 진정 효과가 대박이에요.,민감성 피부라 걱정했는데 자극 하나 없이 진정 효과가 대박이에요.,민감성 피부라 걱정했는데 자극 하나 없이 진정 효과가 대박이에요.,1.0,36,0.75
2025.09.17,5점,"민감성, 여름쿨톤, 미백","한달이상사용, 재구매","나이아신아마이드 10퍼센트 함유로 사용해 봤어요! 생각보다 보습 감이 있어서 약간 끈적거리고, 개인적으로 메이크업 전에는 별로 추천하진 않습니다~","나이아신아마이드 10퍼센트 함유로 사용해 봤어요! 생각보다 보습 감이 있어서 약간 끈적거리고, 개인적으로 메이크업 전에는 별로 추천하진 않습니다~","나이아신아마이드 10퍼센트 함유로 사용해 봤어요! 생각보다 보습 감이 있어서 약간 끈적거리고, 개인적으로 메이크업 전에는 별로 추천하진 않습니다",1.0,80,0.75
2025.09.17,5점,,,여드름 흉터에 진짜 좋아요. 원래 있던 흉터에도 약간 효과있고 특히 막 짜서 붉게 상처생긴곳에 바르고 자면 확실히 좀 나아진게 보여요,여드름 흉터에 진짜 좋아요. 원래 있던 흉터에도 약간 효과있고 특히 막 짜서 붉게 상처생긴곳에 바르고 자면 확실히 좀 나아진게 보여요,여드름 흉터에 진짜 좋아요. 원래 있던 흉터에도 약간 효과있고 특히 막 짜서 붉게 상처생긴곳에 바르고 자면 확실히 좀 나아진게 보여요,1.0,74,0.7297297297297297
2025.09.17,5점,,,"성분함량이 좋은것같아 구매했어요
아직 사용한지 얼마 안되서
효과가 어떨지는 모르겠지만
성분이 좋은만큼
좋아지길 기대합니다","성분함량이 좋은것같아 구매했어요
아직 사용한지 얼마 안되서
효과가 어떨지는 모르겠지만
성분이 좋은만큼
좋아지길 기대합니다",성분함량이 좋은것같아 구매했어요 아직 사용한지 얼마 안되서 효과가 어떨지는 모르겠지만 성분이 좋은만큼 좋아지길 기대합니다,1.0,67,0.8059701492537313
2025.09.16,3점,"지성, 여름쿨톤, 피지과다",,"나이아신 10퍼센트면 고함량인데 민감성들 이거 쓰면 피부 더 뒤집어짐. 무조건 다른거 함량 좀더낮은거 써보고 생각하셈. 나이아신아마이드 무조건 미백에 좋고 뭐 혁신성분 절때아님 이거 txa나이아신10이면 과성분임 민감성한테는 그냥 암생각없이산 나를 저주
그리고 유분기 너무돌고 번들거리고 유수붐밸런스 ㅈ됨 여드름폭탄얼굴됨 ㅇㅇ 삼일쓰규정신타림","나이아신 10퍼센트면 고함량인데 민감성들 이거 쓰면 피부 더 뒤집어짐. 무조건 다른거 함량 좀더낮은거 써보고 생각하셈. 나이아신아마이드 무조건 미백에 좋고 뭐 혁신성분 절때아님 이거 txa나이아신10이면 과성분임 민감성한테는 그냥 암생각없이산 나를 저주
그리고 유분기 너무돌고 번들거리고 유수붐밸런스 ㅈ됨 여드름폭탄얼굴됨 ㅇㅇ 삼일쓰규정신타림",나이아신 10퍼센트면 고함량인데 민감성들 이거 쓰면 피부 더 뒤집어짐. 무조건 다른거 함량 좀더낮은거 써보고 생각하셈. 나이아신아마이드 무조건 미백에 좋고 뭐 혁신성분 절때아님 이거 txa나이아신10이면 과성분임 민감성한테는 그냥 암생각없이산 나를 저주 그리고 유분기 너무돌고 번들거리고 유수붐밸런스 됨 여드름폭탄얼굴됨 삼일쓰규정신타림,1.0,187,0.7540106951871658
2025.09.15,5점,,한달이상사용,복합성인 저에겐 생각보다 끈적했어요 !! 근데 적당량 사용해주면 데일리로 사용해주기 조아요 ㅎㅎ 효과도 어느정도 있는거 같아요! 제가 흔적에 미쳐있눈 사람이라 흔적템 정말 마니마니 써봤는데 한 탑 5안에는 듭니당,복합성인 저에겐 생각보다 끈적했어요 !! 근데 적당량 사용해주면 데일리로 사용해주기 조아요 ㅎㅎ 효과도 어느정도 있는거 같아요! 제가 흔적에 미쳐있눈 사람이라 흔적템 정말 마니마니 써봤는데 한 탑 5안에는 듭니당,복합성인 저에겐 생각보다 끈적했어요 ! 근데 적당량 사용해주면 데일리로 사용해주기 조아요 효과도 어느정도 있는거 같아요! 제가 흔적에 미쳐있눈 사람이라 흔적템 정말 마니마니 써봤는데 한 탑 5안에는 듭니당,1.0,114,0.7456140350877193
2025.09.15,5점,,한달이상사용,피부 톤이 한결 맑아진 느낌이에요. 끈적임 없이 흡수돼 사용감도 좋고 재구매 의사 있어요.,피부 톤이 한결 맑아진 느낌이에요. 끈적임 없이 흡수돼 사용감도 좋고 재구매 의사 있어요.,피부 톤이 한결 맑아진 느낌이에요. 끈적임 없이 흡수돼 사용감도 좋고 재구매 의사 있어요.,1.0,50,0.72
2025.09.15,5점,,재구매,항상 떨어지면 구매해서 쓰고 있어요 효과 너무 좋아요.ᐟ.ᐟ!,항상 떨어지면 구매해서 쓰고 있어요 효과 너무 좋아요.ᐟ.ᐟ!,항상 떨어지면 구매해서 쓰고 있어요 효과 너무 좋아요.ᐟ.ᐟ!,1.0,34,0.6470588235294118
2025.10.13,5점,,한달이상사용,다 사용하면 다시 재구매 할 생각 있ㄱ어요 ~~ 부드럽고 좋아요 ㅎ,다 사용하면 다시 재구매 할 생각 있ㄱ어요 ~~ 부드럽고 좋아요 ㅎ,다 사용하면 다시 재구매 할 생각 있어요 부드럽고 좋아요,1.0,31,0.7419354838709677
2025.10.13,5점,,한달이상사용,"•   제품이 정말 만족스러워요, 사용감도 좋아서 다음에도 꼭 다시 구매할 예정이에요.
•   생각보다 훨씬 괜찮아서 놀랐어요, 품질도 좋아서 앞으로도 재구매할 거예요.","•   제품이 정말 만족스러워요, 사용감도 좋아서 다음에도 꼭 다시 구매할 예정이에요.
•   생각보다 훨씬 괜찮아서 놀랐어요, 품질도 좋아서 앞으로도 재구매할 거예요.","제품이 정말 만족스러워요, 사용감도 좋아서 다음에도 꼭 다시 구매할 예정이에요. 생각보다 훨씬 괜찮아서 놀랐어요, 품질도 좋아서 앞으로도 재구매할 거예요.",1.0,86,0.7441860465116279
2025.10.12,5점,,한달이상사용,자국이 조금 옅어져서 거울 볼 때마다 피부 톤이 한결 맑아진 느낌이에요.,자국이 조금 옅어져서 거울 볼 때마다 피부 톤이 한결 맑아진 느낌이에요.,자국이 조금 옅어져서 거울 볼 때마다 피부 톤이 한결 맑아진 느낌이에요.,1.0,40,0.725
2025.10.11,1점,,재구매,"좋은제품 감사히 잘쓰겠습니다.
사용하기 편한것 같습니다.","좋은제품 감사히 잘쓰겠습니다.
사용하기 편한것 같습니다.",좋은제품 감사히 잘쓰겠습니다. 사용하기 편한것 같습니다.,1.0,31,0.7741935483870968
2025.10.07,5점,,한달이상사용,빠르고 너무너무 좋아요 빠르고 너무너무 좋아요 빠르고 너무너무 좋아요,빠르고 너무너무 좋아요 빠르고 너무너무 좋아요 빠르고 너무너무 좋아요,빠르고 너무너무 좋아요 빠르고 너무너무 좋아요 빠르고 너무너무 좋아요,1.0,38,0.7894736842105263
2025.10.06,5점,,한달이상사용,"피부 톤이 점점 맑아지고 트러블 흔적이 옅어지는 게 보여요. 가벼운 제형으로 흡수도 빠르고, 꾸준히 쓰면 피부결이 정돈됩니다.","피부 톤이 점점 맑아지고 트러블 흔적이 옅어지는 게 보여요. 가벼운 제형으로 흡수도 빠르고, 꾸준히 쓰면 피부결이 정돈됩니다.","피부 톤이 점점 맑아지고 트러블 흔적이 옅어지는 게 보여요. 가벼운 제형으로 흡수도 빠르고, 꾸준히 쓰면 피부결이 정돈됩니다.",1.0,70,0.7285714285714285
2025.10.06,4점,,한달이상사용,이거는 냄새 이상햐용 근데 핑크세럼보다 더 가벼운 느낌이라 흡수는 더 빨랐는데 끈적임이 없지않아 잇엇어오..,이거는 냄새 이상햐용 근데 핑크세럼보다 더 가벼운 느낌이라 흡수는 더 빨랐는데 끈적임이 없지않아 잇엇어오..,이거는 냄새 이상햐용 근데 핑크세럼보다 더 가벼운 느낌이라 흡수는 더 빨랐는데 끈적임이 없지않아 잇엇어오.,1.0,59,0.7627118644067796
2025.10.04,5점,,"한달이상사용, 재구매",좋아서 재구매템입니다! 효능에 비해 인기가 별로 없는 듯 해서 의문입니다 너무 좋아요!,좋아서 재구매템입니다! 효능에 비해 인기가 별로 없는 듯 해서 의문입니다 너무 좋아요!,좋아서 재구매템입니다! 효능에 비해 인기가 별로 없는 듯 해서 의문입니다 너무 좋아요!,1.0,48,0.7291666666666666
2025.10.03,4점,"건성, 웜톤, 잡티, 블랙헤드",,사용할 때 피부가 약간 따끔거린다. 제품을 사용한 후에는 모공이 줄어듭니다.,사용할 때 피부가 약간 따끔거린다. 제품을 사용한 후에는 모공이 줄어듭니다.,사용할 때 피부가 약간 따끔거린다. 제품을 사용한 후에는 모공이 줄어듭니다.,1.0,42,0.7380952380952381
2025.09.02,5점,,,"나이아신아마이드10 대놓고 써져있는데 안 살 수가 없었어영 옛날에 공홈에서 복숭아 세럼이랑 1+1 할 때 샀었는데 괜찮았었고 피부가 최근에 뒤집어져서 찾아보다가 재구매 하게 됐어영
걍 좋아요 저는 건성이라 그렇게 끈적이지도 않고 화장 전에 발라도 잘 흡수돼서 쿨링감 토너 패드 + 세럼 + 무자극 로션 이렇게 해서 아주 잘 쓰고 있어요!!
제가 피부가 민감한 편인데 따갑거나 아픈 건 없었어요!
괜찮아졌음 괜찮아졌지 피부가 더 안 좋아지는 경우는 없었던 것 같아요 쓰는 동안!!","나이아신아마이드10 대놓고 써져있는데 안 살 수가 없었어영 옛날에 공홈에서 복숭아 세럼이랑 1+1 할 때 샀었는데 괜찮았었고 피부가 최근에 뒤집어져서 찾아보다가 재구매 하게 됐어영
걍 좋아요 저는 건성이라 그렇게 끈적이지도 않고 화장 전에 발라도 잘 흡수돼서 쿨링감 토너 패드 + 세럼 + 무자극 로션 이렇게 해서 아주 잘 쓰고 있어요!!
제가 피부가 민감한 편인데 따갑거나 아픈 건 없었어요!
괜찮아졌음 괜찮아졌지 피부가 더 안 좋아지는 경우는 없었던 것 같아요 쓰는 동안!!",나이아신아마이드10 대놓고 써져있는데 안 살 수가 없었어영 옛날에 공홈에서 복숭아 세럼이랑 11 할 때 샀었는데 괜찮았었고 피부가 최근에 뒤집어져서 찾아보다가 재구매 하게 됐어영 걍 좋아요 저는 건성이라 그렇게 끈적이지도 않고 화장 전에 발라도 잘 흡수돼서 쿨링감 토너 패드 세럼 무자극 로션 이렇게 해서 아주 잘 쓰고 있어요! 제가 피부가 민감한 편인데 따갑거나 아픈 건 없었어요! 괜찮아졌음 괜찮아졌지 피부가 더 안 좋아지는 경우는 없었던 것 같아요 쓰는 동안!,1.0,260,0.7192307692307692
2025.09.02,3점,,,"약간 기름져요
이거 쓰고 여드름 좀 올라온느낌이라 못쓰구 있는중
바디에게 양보할게요,,","약간 기름져요
이거 쓰고 여드름 좀 올라온느낌이라 못쓰구 있는중
바디에게 양보할게요,,","약간 기름져요 이거 쓰고 여드름 좀 올라온느낌이라 못쓰구 있는중 바디에게 양보할게요,,",1.0,48,0.75
2025.09.02,5점,,재구매,This serum has helped me to erase my acne marks which were there for long time. I finished one bottle completely using day and night and now I feel I can't live without it,This serum has helped me to erase my acne marks which were there for long time. I finished one bottle completely using day and night and now I feel I can't live without it,This serum has helped me to erase my acne marks which were there for long time. I finished one bottle completely using day and night and now I feel I cant live without it,0.5,170,0.0
2025.09.01,2점,"민감성, 여름쿨톤, 트러블",한달이상사용,이거 효과 엄청나다고 해서 샀는데 음..복합성 지성도 비추 엄청 기름져요 효과도 잘…,이거 효과 엄청나다고 해서 샀는데 음..복합성 지성도 비추 엄청 기름져요 효과도 잘…,이거 효과 엄청나다고 해서 샀는데 음.복합성 지성도 비추 엄청 기름져요 효과도 잘,1.0,45,0.7333333333333333
2025.08.31,5점,,,약간의 자극은 느껴졌지만 그래도 생각보다 흔적이 조금씩 없어지는걸 느껴서 잘 사용하고 있습니다,약간의 자극은 느껴졌지만 그래도 생각보다 흔적이 조금씩 없어지는걸 느껴서 잘 사용하고 있습니다,약간의 자극은 느껴졌지만 그래도 생각보다 흔적이 조금씩 없어지는걸 느껴서 잘 사용하고 있습니다,1.0,52,0.7884615384615384
2025.08.31,5점,,,거의 바닥나서 재구매 할 템입니다~ 선크림을 안 바르다보니 색소침착이 있었는데 옅어져요!! 꾸준히 사용해야 확실한 효과가 잇을 거 같아요,거의 바닥나서 재구매 할 템입니다~ 선크림을 안 바르다보니 색소침착이 있었는데 옅어져요!! 꾸준히 사용해야 확실한 효과가 잇을 거 같아요,거의 바닥나서 재구매 할 템입니다 선크림을 안 바르다보니 색소침착이 있었는데 옅어져요! 꾸준히 사용해야 확실한 효과가 잇을 거 같아요,1.0,74,0.7567567567567568
2025.08.31,4점,,,제가 발목 복숭아뼈랑 팔꿈치에 색소침착이 심해서 이제품 써봤는데 팔꿈치는 잘모르겠지만 복숭아뼈는 거의 사라졌어요! 아마 얼굴에 쓰면 더 좋을 것 같아요,제가 발목 복숭아뼈랑 팔꿈치에 색소침착이 심해서 이제품 써봤는데 팔꿈치는 잘모르겠지만 복숭아뼈는 거의 사라졌어요! 아마 얼굴에 쓰면 더 좋을 것 같아요,제가 발목 복숭아뼈랑 팔꿈치에 색소침착이 심해서 이제품 써봤는데 팔꿈치는 잘모르겠지만 복숭아뼈는 거의 사라졌어요! 아마 얼굴에 쓰면 더 좋을 것 같아요,1.0,84,0.7619047619047619
2025.08.31,5점,,"한달이상사용, 재구매",흔적개선이랑 미백에 효과 보고 있습니당. 재생크림이랑 같이 쓰고 있는데 궁합이 좋은건지 피부에 맞는건지 담날 피부결 넘 좋아보여요,흔적개선이랑 미백에 효과 보고 있습니당. 재생크림이랑 같이 쓰고 있는데 궁합이 좋은건지 피부에 맞는건지 담날 피부결 넘 좋아보여요,흔적개선이랑 미백에 효과 보고 있습니당. 재생크림이랑 같이 쓰고 있는데 궁합이 좋은건지 피부에 맞는건지 담날 피부결 넘 좋아보여요,1.0,72,0.7638888888888888
2025.08.31,4점,,한달이상사용,음 이걸쓰고 나빠지거나 한건 없는데 막 크게 다른효과는 없어서 좀 아쉬웠음 그래도 붉은기는 좀 사그라든거같긴함,음 이걸쓰고 나빠지거나 한건 없는데 막 크게 다른효과는 없어서 좀 아쉬웠음 그래도 붉은기는 좀 사그라든거같긴함,음 이걸쓰고 나빠지거나 한건 없는데 막 크게 다른효과는 없어서 좀 아쉬웠음 그래도 붉은기는 좀 사그라든거같긴함,1.0,61,0.7704918032786885
2025.08.30,5점,,,"아누아제품 여러가지 써보려고 구매중입니다~
저와 잘 맞았으면 좋겠어요","아누아제품 여러가지 써보려고 구매중입니다~
저와 잘 맞았으면 좋겠어요",아누아제품 여러가지 써보려고 구매중입니다 저와 잘 맞았으면 좋겠어요,1.0,37,0.8108108108108109
2025.08.29,5점,,,Мега супер сыворотка. Спасибо большое,Мега супер сыворотка. Спасибо большое,Мега супер сыворотка. Спасибо большое,0.5,37,0.0
2025.08.29,5점,,한달이상사용,"이개 꾸준히 쓰면 효과가 나타나더라고요
피부 미백에도 효과있고 자잘한 잡티들이 많이 사라진 것
같애요!! 아주 좋습니다","이개 꾸준히 쓰면 효과가 나타나더라고요
피부 미백에도 효과있고 자잘한 잡티들이 많이 사라진 것
같애요!! 아주 좋습니다",이개 꾸준히 쓰면 효과가 나타나더라고요 피부 미백에도 효과있고 자잘한 잡티들이 많이 사라진 것 같애요! 아주 좋습니다,1.0,65,0.7538461538461538
2025.08.29,5점,,,한 달 정도 써봣는데 정말 여드름 흉터가 연해진것 같긴 해요 근데 좀 더 꾸준히 써야할듯 밤에는 끈적한거 쓰는거 좋아하는데 굿 보습되는 느낌이이에여,한 달 정도 써봣는데 정말 여드름 흉터가 연해진것 같긴 해요 근데 좀 더 꾸준히 써야할듯 밤에는 끈적한거 쓰는거 좋아하는데 굿 보습되는 느낌이이에여,한 달 정도 써봣는데 정말 여드름 흉터가 연해진것 같긴 해요 근데 좀 더 꾸준히 써야할듯 밤에는 끈적한거 쓰는거 좋아하는데 굿 보습되는 느낌이이에여,1.0,82,0.7439024390243902
2025.08.28,4점,"민감성, 여름쿨톤, 잡티",한달이상사용,"다른 비슷한 제품과 비교를 정확히하지 않아 모르겠지만, 일단 트러블은 안 올라오고 살짝 미백의 효과를 본 것 같아요","다른 비슷한 제품과 비교를 정확히하지 않아 모르겠지만, 일단 트러블은 안 올라오고 살짝 미백의 효과를 본 것 같아요","다른 비슷한 제품과 비교를 정확히하지 않아 모르겠지만, 일단 트러블은 안 올라오고 살짝 미백의 효과를 본 것 같아요",1.0,64,0.734375
