날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2026.01.12,5점,"민감성, 쿨톤, 잡티, 미백",,수분뿐만 아니라 피부에 필요한 프로틴까지 챙길수 있어서 좋아요.도움이 돼요.,수분뿐만 아니라 피부에 필요한 프로틴까지 챙길수 있어서 좋아요.도움이 돼요.,수분뿐만 아니라 피부에 필요한 프로틴까지 챙길수 있어서 좋아요.도움이 돼요.,1.0,42,0.7619047619047619
2025.12.16,5점,"건성, 웜톤, 잡티, 주름",,건성이라 뭘발라도 건조한데 이거쓰고나서 진짜 보습이 탄탄해진 느낌이에요!,건성이라 뭘발라도 건조한데 이거쓰고나서 진짜 보습이 탄탄해진 느낌이에요!,건성이라 뭘발라도 건조한데 이거쓰고나서 진짜 보습이 탄탄해진 느낌이에요!,1.0,40,0.8
2025.12.10,5점,,,얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요..그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요..그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,얼굴이 너무 건조해서 화장을 해도 화장이 금방 떠서 스트레스 받더라구요.그래서 계속 찾아보다가 이 제품을 찾게되어 써봤는데 보습도 너무 좋고 최고입니당,1.0,84,0.7619047619047619
2025.11.28,5점,,,최근에 토너를 다써서 올리브영 블프데이 때 구매했어요 엄청 괜찮네요,최근에 토너를 다써서 올리브영 블프데이 때 구매했어요 엄청 괜찮네요,최근에 토너를 다써서 올리브영 블프데이 때 구매했어요 엄청 괜찮네요,1.0,37,0.7837837837837838
