날짜,별점,스킨타입,태그,리뷰내용,raw_text,clean_text,quality_score,length,korean_ratio
2025.12.18,3점,,한달이상사용,이거만 쓰면 좁쌀 개올라오고 복구하기 어려움 진짜... 화잘먹인건 ㅇㅈ하는데 다른 화잘먹템들도 많음 굳이 이거 살 필요 없음,이거만 쓰면 좁쌀 개올라오고 복구하기 어려움 진짜... 화잘먹인건 ㅇㅈ하는데 다른 화잘먹템들도 많음 굳이 이거 살 필요 없음,이거만 쓰면 좁쌀 개올라오고 복구하기 어려움 진짜 화잘먹인건 하는데 다른 화잘먹템들도 많음 굳이 이거 살 필요 없음,1.0,64,0.75
2025.12.15,5점,"건성, 여름쿨톤, 잡티, 트러블",,저는 수부지고 그냥 보이길래 구매 한건데 엄청 촉촉하고 묽은 타입의 세럼이에요 그래서 보습력도 괜찮다고 느꼈어요 그 중에서 미백 효과가 너무 좋아요 미백 효과를 기대하고 산건 아닌데 한 한달정도 꾸준히 쓰다 보니 얼굴이 좀 밝아진 느낌이라 뭐지 싶었는데 이 제품 때문에 그런거 같더라구요!!,저는 수부지고 그냥 보이길래 구매 한건데 엄청 촉촉하고 묽은 타입의 세럼이에요 그래서 보습력도 괜찮다고 느꼈어요 그 중에서 미백 효과가 너무 좋아요 미백 효과를 기대하고 산건 아닌데 한 한달정도 꾸준히 쓰다 보니 얼굴이 좀 밝아진 느낌이라 뭐지 싶었는데 이 제품 때문에 그런거 같더라구요!!,저는 수부지고 그냥 보이길래 구매 한건데 엄청 촉촉하고 묽은 타입의 세럼이에요 그래서 보습력도 괜찮다고 느꼈어요 그 중에서 미백 효과가 너무 좋아요 미백 효과를 기대하고 산건 아닌데 한 한달정도 꾸준히 쓰다 보니 얼굴이 좀 밝아진 느낌이라 뭐지 싶었는데 이 제품 때문에 그런거 같더라구요!,1.0,161,0.7391304347826086
2025.12.12,5점,,,"지인 추천으로 올영세일 때 구매했어요.
복숭아 향을 원체 안좋아했는데 이건 향 호불호를 참고도 바를 수 있는 효과 보장된 세럼입니다.","지인 추천으로 올영세일 때 구매했어요.
복숭아 향을 원체 안좋아했는데 이건 향 호불호를 참고도 바를 수 있는 효과 보장된 세럼입니다.",지인 추천으로 올영세일 때 구매했어요. 복숭아 향을 원체 안좋아했는데 이건 향 호불호를 참고도 바를 수 있는 효과 보장된 세럼입니다.,1.0,74,0.7297297297297297
2025.12.12,5점,,,"피부 자극 없고 촉촉쫀쫀함 미백효과는 모르겠음
근데 이쁘게생겨서 바를때마다 갓생사는것같고 기분이 조아용 한 번쯤 써보는 것도 조을듯","피부 자극 없고 촉촉쫀쫀함 미백효과는 모르겠음
근데 이쁘게생겨서 바를때마다 갓생사는것같고 기분이 조아용 한 번쯤 써보는 것도 조을듯",피부 자극 없고 촉촉쫀쫀함 미백효과는 모르겠음 근데 이쁘게생겨서 바를때마다 갓생사는것같고 기분이 조아용 한 번쯤 써보는 것도 조을듯,1.0,73,0.7808219178082192
2025.12.09,5점,,한달이상사용,미백이 되는 거는 사실 잘 모르겠고 앰플 중에 가장 발랐을 때 부드럽게 피부가 결이 정동되는 것 같아서 샀는데 겨울 정돈이 잘 되고 얼굴이 최근에 뒤집어졌는데 저 앰플을 쓰고 잘 복구가 됐었어요,미백이 되는 거는 사실 잘 모르겠고 앰플 중에 가장 발랐을 때 부드럽게 피부가 결이 정동되는 것 같아서 샀는데 겨울 정돈이 잘 되고 얼굴이 최근에 뒤집어졌는데 저 앰플을 쓰고 잘 복구가 됐었어요,미백이 되는 거는 사실 잘 모르겠고 앰플 중에 가장 발랐을 때 부드럽게 피부가 결이 정동되는 것 같아서 샀는데 겨울 정돈이 잘 되고 얼굴이 최근에 뒤집어졌는데 저 앰플을 쓰고 잘 복구가 됐었어요,1.0,108,0.7222222222222222
2025.12.02,5점,,재구매,여섯 병 째 사용 중 제발사세요. 그냥 사세요. 고민 하지 마세요. 미백효과 짱 좋아요. 아침에 사용 중인데 저녁까지도 화사함이 느껴져요.,여섯 병 째 사용 중 제발사세요. 그냥 사세요. 고민 하지 마세요. 미백효과 짱 좋아요. 아침에 사용 중인데 저녁까지도 화사함이 느껴져요.,여섯 병 째 사용 중 제발사세요. 그냥 사세요. 고민 하지 마세요. 미백효과 짱 좋아요. 아침에 사용 중인데 저녁까지도 화사함이 느껴져요.,1.0,77,0.6883116883116883
2025.11.30,5점,"복합성, 겨울쿨톤, 각질, 피지과다",,그냥 샀는데 생각보다 괜찮았어요 매일 발라주고 있다가 우연히 거울을 봤는데 피부가 밝아져서 놀랫떠염 용기도 이쁘고 자극도 없어서 좋아용,그냥 샀는데 생각보다 괜찮았어요 매일 발라주고 있다가 우연히 거울을 봤는데 피부가 밝아져서 놀랫떠염 용기도 이쁘고 자극도 없어서 좋아용,그냥 샀는데 생각보다 괜찮았어요 매일 발라주고 있다가 우연히 거울을 봤는데 피부가 밝아져서 놀랫떠염 용기도 이쁘고 자극도 없어서 좋아용,1.0,75,0.7733333333333333
2025.11.30,5점,,"한달이상사용, 재구매","제가 건섯피부인데, 발랐을때 피부에너무나 잘 흡수되는 느낌이 너무나 좋았습니다. 피부에 자극없이 잘발라지며 촉촉함과 피부에 탱탱함이 느껴져서 앞으로도 피부에 많은 도움이 될것같습니다. 앞으로도 재구매의향 가득합니다","제가 건섯피부인데, 발랐을때 피부에너무나 잘 흡수되는 느낌이 너무나 좋았습니다. 피부에 자극없이 잘발라지며 촉촉함과 피부에 탱탱함이 느껴져서 앞으로도 피부에 많은 도움이 될것같습니다. 앞으로도 재구매의향 가득합니다","제가 건섯피부인데, 발랐을때 피부에너무나 잘 흡수되는 느낌이 너무나 좋았습니다. 피부에 자극없이 잘발라지며 촉촉함과 피부에 탱탱함이 느껴져서 앞으로도 피부에 많은 도움이 될것같습니다. 앞으로도 재구매의향 가득합니다",1.0,119,0.7815126050420168
2025.11.27,5점,"건성, 겨울쿨톤, 블랙헤드, 민감성",,은은한 복숭아 향이 너무 너무 좋고 약간 묽은 제형이라서 발림성도 좋아요,은은한 복숭아 향이 너무 너무 좋고 약간 묽은 제형이라서 발림성도 좋아요,은은한 복숭아 향이 너무 너무 좋고 약간 묽은 제형이라서 발림성도 좋아요,1.0,40,0.75
2025.11.26,5점,,,순하고 보습잘되서 꾸준히 이용중이에요순하고 보습잘되서 꾸준히 이용중이에요,순하고 보습잘되서 꾸준히 이용중이에요순하고 보습잘되서 꾸준히 이용중이에요,순하고 보습잘되서 꾸준히 이용중이에요순하고 보습잘되서 꾸준히 이용중이에요,1.0,40,0.85
