날짜,별점,스킨타입,태그,리뷰내용
2026.01.23,5점,"복합성, 겨울쿨톤, 잡티, 트러블",,헬그장에서 간편하게 쓰려고 또 주문! 이거말건 다른거 못써용
2026.01.23,5점,"복합성, 여름쿨톤, 잡티, 미백",,"여행용으로 이만한게 없네유
요거 여행으로 챙겨가는게 좋흡니당"
2026.01.21,5점,,,"지인이 하나 들고와서 써보고 촉촉한게 넘 좋아서
구매했습니다 ! 용량도 좋고 촉촉해서 좋아영"
2026.01.21,5점,,"한달이상사용, 재구매",여행용으로 굿이에용 출장때도 조앙 짐줄이기 최곱니다 ㅎㅎ
2026.01.21,5점,,한달이상사용,여행용으로 조아여 배송비 채울려고 둘러보다가 ㅌㅋ 결국 얘는 나중에 필요할것으로 예상되어 바로 겟
2026.01.19,5점,"트러블성, 웜톤, 잡티, 미백",,여행갈때 들고가요! 잔짜 편해요 ㅋㅎㅋㅎ 성능도 좋습니당
2026.01.19,5점,"복합성, 잡티, 미백",한달이상사용,"자극은 없이 순한데 수분감이 많어요
비싸요ㅠ 가격 할인 많이 해주새요 좋다규 해서 구매해봤어요"
2026.01.15,5점,,,"유튜브에서 추천하길래 구매해 봤는데, 너무 좋네요! 재구매 의사 있어요"
2026.01.14,5점,,한달이상사용,"여행용으로좋아요
하나씩 뜯어서 촉촉하게 해주니까
안심하고 씁니다"
2026.01.13,5점,,한달이상사용,여행갈때 사용하려고 구매해서 잘 사용했습니다. 이번에 또 여행가는데 구매해서 가야겠어요!
2026.01.08,5점,,한달이상사용,"ㅎㅎ 이거 좋네용 따로 분리되서 더더욱 조아용 ><
간편하게 챙길수도 잇궁 가벼워서 더 조아유"
2026.01.08,5점,,,늘 사용하던 제품입니다.행사하기에 구매했습니다.배송도 빠릅니다.
2026.01.07,5점,,한달이상사용,진짜 세일 자주해주세요 놀러갈때 들고가기 딱 좋고 촉촉하고 다음날 일어나면 피부에 광이 돌아요!!
2026.01.07,5점,"트러블성, 가을웜톤, 트러블, 모공",한달이상사용,"이거 해외 나갈 때, 비행기 기내에서 사용하기 좋아요.
보습력도 좋구요! 지금 같은 계절에 딱"
2026.01.07,5점,,"한달이상사용, 재구매",여름철 피부가 달아올랐을 때 혹은 겨울철 피부가 바짝 말라있을 때 응급으로 이거 피부에 부어주면 진정이 되는 것 같아 구매하게 됩니다. 병에 든 건 불편해서 캡슐형을 더 선호합니다
2026.01.06,5점,,한달이상사용,간편하게 가지고 다니기도 좋고 아누아 피디알엔은 무난하게 쓰기 좋은 것 같아요!
2026.01.06,5점,,"한달이상사용, 재구매",여행갈때 출장갈때 넘 좋아요 :) 포켓에 쏙 들어가니 좋더라구요 다음에도 또 구매할 의사 잇어요
2026.01.05,5점,,한달이상사용,제 피부에 잘맞아서 할인할때마다 재구매해주고 있어요 이번에도 다 쓰면 또 재구매할려고요
2026.01.05,5점,,한달이상사용,얼굴에 흡수가 바로 되지 않고 조금 겉돌긴 하지만 휴대용으로 나와서 여행 갈 때 들고 가기 딱 좋아요.
2026.01.04,5점,"지성, 쿨톤, 잡티, 블랙헤드",한달이상사용,"너무좋아용 이거세럼만 몇번째구매인지모르겠는데
이거 일회용은 여행갈때쓰려고 아끼는중"
2026.01.04,5점,,한달이상사용,이거 진짜 여러번 레이어딩 해도 밀리는 그런게 없어요 좋아요 겨울에 쓰시길.. 건성 강추
2026.01.03,5점,,한달이상사용,한번에 쓸 용량별로 하나씩 나눠져있는게 간편해요~여행갈 때 딱 몇개만 들고가면 돼서 가볍고 좋아요!! 촉촉하고 수분 채우기 좋어요
2026.01.03,5점,"민감성, 겨울쿨톤, 트러블","한달이상사용, 재구매",휴대성도 좋고 촉촉해서 저희 엄마가 뺏어씁니다.. 역시 아누아
2026.01.02,5점,,,"너무 좋아요

최애템 쓴날 안쓴날 차이 심해서 비싸지만 쟁여두고 쓰는 애정템 입니다♡"
2026.01.02,5점,,,인스타그램에서 하도 좋다고 파는사람이 광고하길래 궁금하기도 했고 해서 사봣어요 물론 효과가 아예 없진않으네 이거 효과를 100% 봤다 하기에는 어려운거같네요 또 물로 닦아서 관리하기엔 편한데 다시 뚜껑닫아놓고 냅두기가 좀 찝찝해요 원가주고 사기엔 비싼거같고 세일할때 사서 일주일에 1-2번씩 써주기엔 나쁘지않을거같네요 일반 효소클렌저랑은 또 다른니낌인스타그램에서 하도 좋다고 파는사람이 광고하길래 궁금하기도 했고 해서 사봣어요 물론 효과가 아예 없진않으네 이거 효과를 100% 봤다 하기에는 어려운거같네요 또 물로 닦아서 관리하기엔 편한데 다시 뚜껑닫아놓고 냅두기가 좀 찝찝해요 원가주고 사기엔 비싼거같고 세일할때 사서 일주일에 1-2번씩 써주기엔 나쁘지않을거같네요 일반 효소클렌저랑은 또 다른니낌
2026.01.01,5점,,,휴대하고다니기도 좋고 양도 1회쓸 분량이있어서 좋은것같아요.
2025.12.31,5점,"민감성, 봄웜톤, 잡티, 미백","한달이상사용, 재구매","여행다닐때마다 챙겨다니는데 좋아요
조금망 더 저렴핬으묜 좋깄어오"
2025.12.30,5점,,한달이상사용,친구가 쓰는 제품이라 생일선물로 줬습니다. 다음에는 저도 써보려구요！
2025.12.30,5점,,,여행갈 때 쓰려고 구매했습니다! 자극없이 촉촉하고 좋아요~
2025.12.29,5점,,,바르기 슂고 가지고 다니기 쉽고 여행 다닐 때나 밖에서 챙기고 다니기 좋음
2025.12.26,5점,,,여행가서 사용할려고 구매했어요!! 인공눈물처럼 특이하게 생겨서 신기하고 앰플도 좋아요
2025.12.26,5점,,,"여행갈때 간단하게 들고가려고 샀어요
양도 꽤 많고 촉촉해서 좋더라구요"
2025.12.23,4점,,,본품 잘 쓰고 있는데 여행용으로 구입했습니다. 양에 비해 너무 비쌈 진짜 너무 비쌈 아누아 걍 너무 비쌈 양심 ㄴ
2025.12.23,5점,,,너무 조아요오 친구 추천으로 산건데 괜찮네요 파워건성인지라 이것만 쓰면 건조하고 오일도 같이 써야해여
2025.12.23,5점,,한달이상사용,여행갈때 하나씩 가져가도 좋고 휴대가 가능해서 좋아요~ 손이 자주 가네요
2025.12.22,5점,,,원래 부터 잘쓰는 제품이라 너무 맘에 들어용ㅎㅎ! 강력 추천합니다
2025.12.22,5점,,,"친구추천받고 사용해봤는데 촉촉하고 넘 좋아요!
가격만 조금 더 착하면 좋겠어요🥹"
2025.12.20,5점,,,"여행갈때 필수품이에요!! 기분탓인지 모르지만 왠지 큰 병보다 이 작은 친구가 더 피부 좋아지는 기분이 들어욬ㅋㅋㅋ
주변에 엄청 홍보하고 영업했던 템이에요!!"
2025.12.19,5점,"건성, 쿨톤, 민감성, 모공",한달이상사용,세일하는기간은 아니지만 그래도 쿠폰 포인트먹여서 구매했어요 늘 쓰는제품이라 살때 한방에 삽니다:)
2025.12.19,5점,"복합성, 잡티, 미백",,아직 쓰진 암ㅎ았지만 소소문 듣고 샀습니다 후기 좋으면 한달후기 남기러 올게요
2025.12.19,5점,"복합성, 봄웜톤, 각질, 트러블",,휴대용으로 사용하기 너무 좋아요 아무래도 여행하면서 통에 들어있는 제품들은 쓰고 챙겨야하지만 쓰고 버리면 되서 너무 편리하고 좋아요
2025.12.18,5점,"건성, 쿨톤, 주름, 각질","한달이상사용, 재구매",자극없이 순한 세럼! 본품보다 이게 더 좋은 것 같은 느낌은 기분탓인가요! 여행이나 헬스장에 가지고 다니기 딱 좋아요
2025.12.18,5점,,,평소에 잘 사용하고잇어서 기다렷는데 드디어 떠서 구매해용
2025.12.16,4점,,한달이상사용,"넘넘 궁금했는 제품이었는데 잘 산거가탸요 크크쿠
다음에 또또 재구매할 예정이무니댜어
모두모두 구매흐시기 바랍니나.!,"
2025.12.15,5점,,한달이상사용,배송도 빠르고 좋아요 다음번에도 또 구매할 예정이에요 잘쓸게요
2025.12.31,5점,,재구매,휴대용으로 들고다니기도 편하고 양이많아서 전 이틀에 나눠서 씁니다ㅎㅎ
2025.12.15,5점,,,얼굴 결을 관리해주고 작은 비립종같은게 정리가 잘 된 듯한 느낌이에요 휴대하기가 좋아 이번 유럽여쌩때 똑똑한 반려스킨품이었네요
2025.12.13,5점,,재구매,가지고 다니기 너무 좋아요 출장이나 여행갈때 좋아요! 기초 제품을 많이 써서 다 들고 다니기 버거운데 이건 정말 최고에용
2025.12.13,5점,,,이 세럼 아예 달고 사는데 여행용으로 구매했습니다 너무 좋아요~~ㅎㅎ
2025.12.13,5점,,,촉촉하고 진정이 잘 됩니다. 개별포장이라 깔끔하게 사용하기 좋은것도 포인트
2025.12.12,5점,,,앰플이 소분되어 있어 여행용으로 딱인것 같아요!! 제품도 좋아요
2025.12.12,4점,"복합성, 여름쿨톤, 잡티, 미백",한달이상사용,좋은 건 같은데 뭔가 잘 안 쓰게 되는 것 같아요 ㅋㅋㅋ 재구매는 안 할 듯
2025.12.11,5점,,,촉촉해지고 넘 좋습니당 가볍게 가지고 다니기에 좋습니당 피부 타입에 상관 없이 써도 괜챃지 않을까 생각합니당
2025.12.10,5점,,한달이상사용,이거한다음에 휴ㅓ정하면 잘 먹어요 애들이 다 세럼 뭐냐고 물음 ㅋ
2025.12.10,5점,,,작은 용량으로 한번 쓰기 좋고 여행용으로 들고 다니기 좋아요
2025.12.10,5점,"복합성, 웜톤, 잡티, 미백",한달이상사용,"스킨케어를 아누아 제품으로 다 바꿨는데
피부결도 매끈해지고 자극없고 만족해요"
2025.12.10,5점,,,낱개로 개별 포장이 되어있어서 무게 부담 없이 여행용으로 쓰기 너무 좋을 거 같아요!!
2025.12.09,5점,,,평소에 가지고 다니면서 사용하기에 간편한 패키징이 매우 마읍에 듭니다. 마치 눈에 넣는 점안액 처럼 생겼지만 피부에 바르는 제품이랍니다. 촉촉하고 좋은 것 같아요
2025.12.08,5점,"복합성, 웜톤, 잡티, 미백",,유투브에서 추천하길래 구매해봤어요 휴대용으로도 좋을거같아요
2025.12.08,4점,,,딱히 좋은지는 모르겠는데 계속 사용해보려구요 피부에 잔여감이 좀 있어요
2025.12.08,5점,,,여행갈때좋을것같타요 엄청 촉촉해지네요 여드름 피부에더 좋을 것 같아요
