날짜,별점,스킨타입,태그,리뷰내용
2025.12.07,4점,,,"아누아 77+ 패드쓰고 피부 와장창창 된 사람인데요..ㅠㅠ
일본인 친구중 한명이 선물해줘서 이번에 써본 제품이에요
화장솜에 적셔서 쓰는편은 아니라 그냥 흡수 시켜줬는데
아직 효과는 못봤어요ㅎㅎ..기능성 화장품이니 좀 더 기다려봐야 할거 같아용..👍🏻👍🏻 디자인도 이쁘구 순해서 쓸만합니당"
2025.12.07,5점,"복합성, 여름쿨톤, 미백, 블랙헤드",,"🩷복합성/민감성/아토피/여름쿨톤/페일톤/17호/학생🩷

🩷리뷰가 도움이 되셨다면 👍을 꾹 눌러주세요!🩷

🩷리뷰🩷
점성있는 물같은 제형으로 보습감이 꽤나 있어서 겨울에만 써주는 토너에요! 이거 쓰면 쫀쫀 피부 완성이라 베이스가 더 쫩쫩 잘먹는 느낌쓰~ 미백 효과는 꾸준히 쓰면 인상이 조금 화사해지는 정도랄까요..? 촉촉함을 기대하시길 바랍니다 미백효과를 포기하시면 만족스러우실수도요"
2025.12.06,5점,,한달이상사용,자극 하나두 없고 데일리로 쓸만해요 향도 좋아서 쓸 때 기분 좋음 굿
2025.12.06,5점,,한달이상사용,라픽으로 구매했어요!!! 이본 올영세일때 세럼이랑 로션도 구매함
2025.12.03,4점,,한달이상사용,평범한데 조금 점성이 있는..? 제형이에요 잘 쓰고 있어용
2025.12.02,4점,"건성, 여름쿨톤, 트러블, 모공",,마음에 들어서 자주 애용하는 제품이에요. 무난해서 피부 타입이나 톤에 구애받지 않고 모든 분들이 무난하고 편하게 사용하기 좋을 것 같아요! 유목민 분들이 꾸준템으로 쓸 수 있는 정착템이 되지 않을까 싶습니다! :)
2025.12.02,5점,"건성, 쿨톤, 잡티, 미백",한달이상사용,피부결 개선에 이만한ㄱ ㅓ 없음 이 복숭아 라인이 다 좋아요 진짜
2025.12.02,5점,,한달이상사용,마무리감이 살짝 끈적이긴 하지만 좋아용 역시 아누아!!♥
2025.12.02,5점,"민감성, 여름쿨톤, 잡티, 미백",한달이상사용,"좋아하는 상품입니다 잘 쓰고 있어요
할인할 때 구매해보세요"
2025.12.02,5점,,한달이상사용,토너 다 써가서 라픽 때 싸게 산 거 였는게 좋아요 무난무난함👍
2025.12.01,5점,,한달이상사용,다이소 안개분사 스프레이 껴서 썻는데 좀 에샌스 제형이라서 그냥 토너패드애 부음 ㅋ
2025.12.01,4점,"민감성, 여름쿨톤, 잡티, 미백",한달이상사용,"복숭아수가 맨앞에 있는 제품!
촉촉한 토너로 사용해주기 좋은 듯"
2025.11.30,5점,,,벌써 재구매 템이에요!! 이거 없으면 화장을 못하겠어요ㅠㅠ 화장하기 전에 닥토로 피부결 정리 해주면 진짜 너무너무 촉촉하고 화장이 너무 잘 먹어요!! 특히 겨울에 피부 건조하지 않게 예쁜 광 내고 싶으신 분들은 진짜 너무너무 좋아하실 것 같아요!!👍🏻
2025.11.30,5점,,,피부가 예민하고 건성인데 촉촉하고 화장도 안뜨고 순해서 좋아요ㅎ 세럼써보고 괜찮아서 토너도 주문했는데 괜찮네요ㅎ
2025.11.30,5점,,,촉촉하고 아주 좋아요 복숭아좋아해서 써봤는데 아주 만족하는 재품입니당
2025.11.30,5점,,,ㅆㅂ이건ㄹㅈㄷ에요 피부에 뭐가 진짜 안나는편인데 한번 나면 잘 안가라앉거든요ㅠㅠ ㄱㄷ 이거쓰고 바로 들어갓어요 그리고 무엇보다 피부결이 ㅈㄴ쫀득하게 매끈해져요 이건혁명이야 ㅅㅈㅎ 아누아 비싸기만하고 별로라는 편견을 가지고있었는데 이거 라픽으로 사고 아누아 숭배해요
2025.11.30,5점,,한달이상사용,"복숭아 토너 큰 효과는 모르겠지만 디자인.. 그리고 향과 마무리감이 취향이라서 꾸준히 사용할 것 같습니다!
앰플은 안 맞는 지 좁쌀이 우다다 올라오던데 토너는 잘 맞네요"
2025.11.29,5점,"중성, 여름쿨톤, 미백, 주름",,블랙프라이데이에 운 좋게 싼 가격에 사게 되었는데 아주 좋은 상품이군여 ㅎ
2025.11.25,5점,,,복숭아향이 은은하게 나고 이거 바르고 화장하면 겁나 잘된답니다 ㅎㅎㅈㅉ 추천
2025.11.24,5점,,,간단하게 토너팩 하기 좋은 토너 찾다가 써볼까 싳어서 사서 토너팩했는데 모야 기대한것보다 좋았습니다 토너팩 올리고 5분?정도 있다 보면 안색이 좀 밝아진?느낌이고 피부도 쫀쫀하니 너무 좋아여
2025.11.22,5점,,,항상 화장하기전에 쓰면 화장 잘 먹어서 너무 좋아요! 🤍🤍
2025.11.17,5점,"민감성, 가을웜톤, 블랙헤드, 홍조",,아 진짜 이 토너 팩토하고 화장하면 얼굴 열감 싹 내려주고 화장 착붙 최고에요
2025.11.16,5점,"복합성, 봄웜톤, 잡티, 각질",,화잘먹 토너임 ㄹㅇ 그리고 피부결도 좋아져여 🌈무지개반사🌌우주반사🏅절대반사🌚블랙홀반사🙌🏻자동반사💎크리스탈반사👑슈퍼울트라반사🐉흑염룡반사💫안드로메다반사☃️알래스카반사🐺시베리아허스키반사🌞복사열반사👻유령반사👾외계인반사🤖인공지능반사⚜️제우스반사🎵리듬에몸을맡기고반사👁호루스의눈반사
2025.11.15,5점,"지성, 쿨톤, 미백, 다크서클",한달이상사용,잘 써서 이번에도 아누아 토너 하나 더 삼 이름값하고 무난하니 잘 쓰는 중
2025.11.14,5점,,,냄새 너무 좋아윰!!ㅜㅜ 봉숭아라 핑크핑크하고 귀여워요 이 토너랑 아누아 엠플이랑 같이쓰면 기분이 젛아욤!ㅎㅎ 자극도 없이 순하고 물같은 제형?이라 쓰기 편해요!! 양도 완전 많아서 좋아염
2025.11.11,5점,"복합성, 웜톤, 잡티, 미백",,일단 양 조절할 수 있게 쏟아져 나오지 않아서 넘 좋아요!! 촉촉하고 향도 복숭아향나요!
2025.11.11,4점,,,그냥 토너느낌.?.? 그냥 데일리로 쓰기좋은 토너임..!
2025.11.09,5점,"민감성, 여름쿨톤, 잡티, 트러블",한달이상사용,촉촉하며 향도 조아요~! 아직 잘쓰구 있어요~! 앞으로도 구매하려구요
2025.11.08,5점,,,아누아 복숭아 라인 유명하죠 일단 향이 너무 마음에 들고요 그리고 끈적이지 않고 잘 흡수되고 나이아신 함량도 좋아요
2025.11.07,4점,,,끈적임이 없고 깔끔하게 피부에 밀착을 시켜줘서 아주 좋고 자주 이용할 것 같아요!
2025.11.07,5점,,,"매일 사용해도 부담 없고, 쓸수록 피부가 차분해지는 느낌이에요."
2025.11.05,5점,,,향이 뭔가 애매하긴한데 좋음 굿. 올영 라픽으로 7천원에 삼~
2025.11.05,5점,,,좋아요~ 가성비도 좋고 제품 품질도 뛰어납니다 재구매할것같아요
2025.11.05,5점,"지성, 웜톤, 트러블, 블랙헤드",,향긋하고 사랑스러운 복숭아향이구 마치 제가 어피치가 된 기분이며 촉촉하고 산뜻해요 추천합니당!
2025.11.03,5점,"건성, 여름쿨톤, 잡티, 트러블",,오늘 아침에 한번 써봤는데 피부가 쫀쫀해져서 좋은거 같아요
2025.11.03,5점,,,이거 쓰고 확실히 얼굴이 뽀용해지고 하야진게 느껴져용 가볍고 화장도 잘먹어서 좋슴니다
2025.11.03,5점,"지성, 겨울쿨톤, 잡티, 모공",한달이상사용,자극없이 순해요 보습력이 좋은건 모르겠어요 여름과초가을쯤쓰면 괜찮을거같아요
2025.11.03,5점,,,아니 이거 완전 촉촉하고 완전 대박임 마스크팩 많이 썼는데ㅜ그거보다 이게 더 좋음
2025.11.03,5점,,,점성 있어서 좋아요 물처럼 흐르는 토너보다 좀더 보습감이 있는 느낌임
