리뷰ID,제품군,제품명,날짜,가격,스킨타입,태그,대분류,소분류,정보밀도(대분류수),별점,긍부정,감성점수,매칭키워드,추출문장,clean_text,리뷰_평균점수,전체_매칭키워드
TP_250830_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.30,-,,,"수분/유분 밸런스, 제형/사용감","끈적임/밀림, 유분/피지, 흡수/발림성",3,4점,부정,-1,"유분, 유분감, 점성",생각보다 점성유분있어요 꽤 유분감 있는편이라 물토너를 기대했다면 별로이고,생각보다 점성유분있어요 꽤 유분감 있는편이라 물토너를 기대했다면 별로이고 미스트 통에 넣어서 사용할려고 했는데 점성이 있으니까 안개분사가 찍찍이로 변함 향은 무난한 복숭아 향이고 스킨팩하긴 괜찮았어요 그냥 진짜 보습용으로 써요,0.3,"보습, 분사, 유분, 유분감, 점성, 향"
TP_250830_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.30,-,,,"구매 가치/편의, 제형/사용감","상황/편의, 흡수/발림성",3,4점,보통,0,"분사, 점성, 향",점성이 있으니까 안개분사가 찍찍이로 변함 향은 무난한 복숭아 향이고,생각보다 점성유분있어요 꽤 유분감 있는편이라 물토너를 기대했다면 별로이고 미스트 통에 넣어서 사용할려고 했는데 점성이 있으니까 안개분사가 찍찍이로 변함 향은 무난한 복숭아 향이고 스킨팩하긴 괜찮았어요 그냥 진짜 보습용으로 써요,0.3,"보습, 분사, 유분, 유분감, 점성, 향"
TP_250830_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.30,-,,,수분/유분 밸런스,보습/속건조,3,4점,긍정,2,보습,스킨팩하긴 괜찮았어요 그냥 진짜 보습용으로 써요,생각보다 점성유분있어요 꽤 유분감 있는편이라 물토너를 기대했다면 별로이고 미스트 통에 넣어서 사용할려고 했는데 점성이 있으니까 안개분사가 찍찍이로 변함 향은 무난한 복숭아 향이고 스킨팩하긴 괜찮았어요 그냥 진짜 보습용으로 써요,0.3,"보습, 분사, 유분, 유분감, 점성, 향"
TP_250831_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.31,-,"복합성, 봄웜톤, 잡티, 각질",,"구매 가치/편의, 피부 자극","상황/편의, 순함/저자극",2,5점,보통,0,"냄새, 민감",복숭아 냄새 너무 좋구 민감성인 분들이 사용하기시 딱 조아요,복숭아 냄새 너무 좋구 민감성인 분들이 사용하기시 딱 조아요,0.0,"냄새, 민감"
TP_250831_003,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.31,-,,,"구매 가치/편의, 피부 자극","상황/편의, 자극/부작용",2,5점,긍정,3,"자극, 향",향이 자극하지않고요,향이 자극하지않고요. 마음에 들어요. 토너가 떨어질라고 해서 사보게 되었습니다. 느낌이 괜찮은것 같아요.,3.0,"자극, 향"
TP_250831_004,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.08.31,-,,,제형/사용감,끈적임/밀림,1,5점,긍정,1,끈적,영양감 느껴쟈서 좋음 다른 리뷰에서 끈적,영양감 느껴쟈서 좋음 다른 리뷰에서 끈적?하다고 하길래 걱정했느데 걍 적당함,1.0,끈적
TP_250902_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.02,-,,,"수분/유분 밸런스, 제형/사용감","보습/속건조, 흡수/발림성",2,5점,긍정,1,"점성, 촉촉",촉촉해요 점성이 좀 있어서 물처럼 주루룩 흐르는 건 아니네요,촉촉해요 점성이 좀 있어서 물처럼 주루룩 흐르는 건 아니네요,1.0,"점성, 촉촉"
TP_250903_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.03,-,"지성, 겨울쿨톤, 잡티, 모공",,"수분/유분 밸런스, 피부 자극","보습/속건조, 순함/저자극, 자극/부작용",2,4점,긍정,3,"보습, 자극, 자극없",자극없이 좋아요 무난하게 아침에 사용하기좋을거같아요 겨울에쓰기에는 보습감부족할것같습니다,양도 많고 자극없이 좋아요 무난하게 아침에 사용하기좋을거같아요 겨울에쓰기에는 보습감부족할것같습니다,3.0,"보습, 자극, 자극없"
TP_250905_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.05,-,"건성, 쿨톤, 미백, 각질",,구매 가치/편의,"가성비/가격, 추천/재구매",1,5점,긍정,4,"재구매, 저렴",너무 맘에 드는 제품이구요 여러번 재구매했어요 저렴하고,너무 맘에 드는 제품이구요 여러번 재구매했어요 저렴하고 효과 좋아서 추천해요,2.5,"재구매, 저렴, 추천"
TP_250905_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.05,-,"건성, 쿨톤, 미백, 각질",,구매 가치/편의,추천/재구매,1,5점,긍정,1,추천,추천해요,너무 맘에 드는 제품이구요 여러번 재구매했어요 저렴하고 효과 좋아서 추천해요,2.5,"재구매, 저렴, 추천"
TP_250905_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.05,-,,,구매 가치/편의,추천/재구매,1,5점,긍정,4,재구매,이것을 좋아해요 좋아해요 재구매 마음에들어,"품이 마음에 들었어요, 다시 살 수 할게요. 이것을 좋아해요 좋아해요 재구매 마음에들어",4.0,재구매
TP_250914_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.14,-,,,구매 가치/편의,상황/편의,2,5점,긍정,1,팩토,팩토해도 좋고,양이 많아서 팩토해도 좋고 그냥 발라도 너무 좋아요 약간 밝아지는 느낌이 들어요,1.5,"밝아, 팩토"
TP_250914_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.14,-,,,피부 고민 해결,미백/광채,2,5점,긍정,2,밝아,그냥 발라도 너무 좋아요 약간 밝아지는 느낌이 들어요,양이 많아서 팩토해도 좋고 그냥 발라도 너무 좋아요 약간 밝아지는 느낌이 들어요,1.5,"밝아, 팩토"
TP_250915_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.15,-,,,"구매 가치/편의, 피부 자극","순함/저자극, 자극/부작용, 추천/재구매",2,5점,긍정,2,"만족, 순한, 자극, 자극없",자극없이 순한거같아서 만족합니다,자극없이 순한거같아서 만족합니다. 향은 그냥 그래요,1.0,"만족, 순한, 자극, 자극없, 향"
TP_250915_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.15,-,,,구매 가치/편의,상황/편의,2,5점,보통,0,향,향은 그냥 그래요,자극없이 순한거같아서 만족합니다. 향은 그냥 그래요,1.0,"만족, 순한, 자극, 자극없, 향"
TP_250916_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.16,-,,,구매 가치/편의,상황/편의,1,5점,긍정,1,화장,화장하기 전에 요걸로 스킨케어하면 화장이 잘먹어요,2통째입니다! 화장하기 전에 요걸로 스킨케어하면 화장이 잘먹어요,1.0,화장
TP_250920_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.20,-,"건성, 웜톤",한달이상사용,구매 가치/편의,상황/편의,2,5점,보통,0,냄새,냄새도 좋고,냄새도 좋고 제형도 가벼워서 닦토 팩토 모두 하기 좋아요 복숭아향이 진짜좋네요,0.7,"냄새, 닦토, 제형, 팩토, 향"
TP_250920_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.20,-,"건성, 웜톤",한달이상사용,제형/사용감,흡수/발림성,2,5점,보통,0,제형,제형도 가벼워서,냄새도 좋고 제형도 가벼워서 닦토 팩토 모두 하기 좋아요 복숭아향이 진짜좋네요,0.7,"냄새, 닦토, 제형, 팩토, 향"
TP_250920_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.20,-,"건성, 웜톤",한달이상사용,구매 가치/편의,상황/편의,2,5점,긍정,2,"닦토, 팩토, 향",닦토 팩토 모두 하기 좋아요 복숭아향이 진짜좋네요,냄새도 좋고 제형도 가벼워서 닦토 팩토 모두 하기 좋아요 복숭아향이 진짜좋네요,0.7,"냄새, 닦토, 제형, 팩토, 향"
TP_250927_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.27,-,"건성, 봄웜톤, 잡티, 미백",한달이상사용,수분/유분 밸런스,보습/속건조,1,5점,긍정,1,촉촉,있어요 다 쓰면 또 살 거임 이거만 발라도 촉촉해짐,아직까지 잘 쓰고 있어요 다 쓰면 또 살 거임 이거만 발라도 촉촉해짐,1.0,촉촉
TP_250929_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.29,-,,,"구매 가치/편의, 제형/사용감","상황/편의, 흡수/발림성",2,5점,긍정,2,"스며, 향",토너는 향이 너무 좋고 피부에 잘 스며듭니다,아누아 브랜드를 정말 좋아해요. 토너는 향이 너무 좋고 피부에 잘 스며듭니다. 피부가 벨벳처럼 매끄 럽고 윤기가 나며 안에서부터 빛이 납니다. 탄력도 생겼어요. 이 브랜드의 앰풀은 제 인생템이에요. 감사합니다!,3.5,"스며, 인생템, 향"
TP_250929_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.09.29,-,,,구매 가치/편의,추천/재구매,2,5점,긍정,5,인생템,이 브랜드의 앰풀은 제 인생템이에요,아누아 브랜드를 정말 좋아해요. 토너는 향이 너무 좋고 피부에 잘 스며듭니다. 피부가 벨벳처럼 매끄 럽고 윤기가 나며 안에서부터 빛이 납니다. 탄력도 생겼어요. 이 브랜드의 앰풀은 제 인생템이에요. 감사합니다!,3.5,"스며, 인생템, 향"
TP_251001_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.01,-,"복합성, 봄웜톤, 잡티, 각질",한달이상사용,구매 가치/편의,상황/편의,1,5점,긍정,1,화장,화장하니까 쫀득쫀득 화장 개잘먹어용 이걸로 기초허고,이걸로 기초하고 화장하니까 쫀득쫀득 화장 개잘먹어용 이걸로 기초허고 화장하면 개굿,0.5,화장
TP_251001_002,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.01,-,"복합성, 봄웜톤, 잡티, 각질",한달이상사용,구매 가치/편의,상황/편의,1,5점,보통,0,화장,화장하면 개굿,이걸로 기초하고 화장하니까 쫀득쫀득 화장 개잘먹어용 이걸로 기초허고 화장하면 개굿,0.5,화장
TP_251001_004,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.01,-,,한달이상사용,구매 가치/편의,가성비/가격,1,5점,보통,0,가격,막상 가격만 보면 비싼 거 같아도 토너 양이 꽤 돼서,막상 가격만 보면 비싼 거 같아도 토너 양이 꽤 돼서 오래 쓸 거 같아요!,0.0,가격
TP_251003_001,토너,복숭아 나이아신아마이드 에센스 토너 250mL,2025.10.03,-,,한달이상사용,제형/사용감,흡수/발림성,1,5점,보통,0,점성,엄청 점성이 잇는건 아니고,아예 물은 아니고 그렇다고 엄청 점성이 잇는건 아니고 그냥 바르기좋은 토너,0.0,점성
