날짜,별점,스킨타입,태그,리뷰내용
2026.01.09,5점,,재구매,순해서 자주 사는 제품이에요 꾸덕한 제형이 아닌 촉촉해서 좋아요
2026.01.08,5점,,한달이상사용,"오늘 좀 건조하다 싶으면 듬북 바르고 자용
그럼 아침에 뽀얀 피부를 볼수 있어요 ㅎㅎ"
2026.01.07,5점,,,데일리로 쓸 크림 찾다가 구매했는데 끈적임도 없이 너무 좋아요
2026.01.07,5점,,재구매,끈적이지 않으면서 촉촉한 무난템의 정석입니다 다른 로션은 못바름
2026.01.07,5점,,한달이상사용,"저는 복합성피부(티존은 지성)인데.. 넘 좋아요
여름에 쓰면 조금 무거울 수는 있을 것 같은데 일단 겨울에 쓰기는 좋다는 점 ㅎㅎ 로션 하나만 발라도 별로 막 건조하지 않습니다 끈적임도 적어요!!!
그리고. 일단 피부 트러블 별로 안 납니다 ^!!!"
2026.01.07,5점,,,"이거 진짜 5년정도 쓰고있는데 완전 좋아요
별로 끈적거리지도않고 냄새도 안나요
여드름 진정에 좋은거같아요
보습도 짱짱 건성이 쓰기 좋은거같어요"
2026.01.06,5점,,한달이상사용,여드름 진짜 많구 기름도 많은데 이거 쓰니까 건조하지도 않고 기름도 안 생김! 그냥 완전 순해여
2026.01.06,5점,,,딱 데일리용잉것같아야 건성분들한테 추천하고 지성분들은 피하는게 좋을것같아여
2026.01.06,5점,,,아 이거는 제 인생템이고요 5년 넘게 로션은 이걸로 썻어요. 진짜 이거 없으면 불안해서 집에 몇개씩 쟁여두는 로션인데 제발 이거 다 써보세여 제발.
2026.01.01,4점,,,아누아 기초 아이템들 몇번 사용해봤는데 순하고 보습력도 괜찮아서 종종 쓰기 좋아요!
2026.01.01,5점,,"한달이상사용, 재구매",기름지거나 그런게 없어서 너무 좋아요. 다음에도 또 구매하려고 해요!!
2025.12.31,5점,,,"흡수가 빠름!
무난템입니당 건조한 분 ㅊㅊ합니당
냄새도 별로 안나러 좋음"
2025.12.31,5점,,,이 상품은 쓰기 좋습니다 개인적으로는 그래도 마음에 드시는 리뷰는 참고하시기 바랍니다.
2025.12.30,5점,,,써봤던 것 중 가장 순하고 3통째 쓰는 중입니다 건성이고 화장 전 간단하게 레이어드할 스킨으로 사용하세요 !
2025.12.28,5점,,,수분이 많아서 수분 보충에 좋을 것 같아요 따로 여드름 피부에 효과있는지는 모르겠지만 건성한테는 추천합니다!
2025.12.27,5점,,,"좋아요 겨울로션으로 딱입니다
한번짜서 골고루 나눠바르면 딱좋아요"
2025.12.26,5점,,한달이상사용,재구매 아이템인데 겨울철에 크림 바르기 전에 사용하기 좋고 향에 민감한 편인데 괜찮았어요!
2025.12.24,5점,,한달이상사용,가벼운 에멀젼 여러가지 쓰는데 올영에서 만난 이누아로션 자주 바르고 있습니다
2025.12.24,5점,"민감성, 봄웜톤, 블랙헤드",한달이상사용,막 엄청 좋고 효과가 좋은건 몰겠는데 진짜 데일리?템인듯 무난무난 촉촉 좋아융
2025.12.24,5점,,,아침마다 쓰다보니까 작년에산거..? 아직도 사용중이이요
